time, rotA, rotB, rotG
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 35.79155045851165, 28.461702214861198, -3.2349538951759897
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 27.319534076189573, 25.35301503866347, -0.5816944480463111
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 13.009474972501627, 11.33136238022661, -2.501189233962459
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 18.0223522949545, 11.243349416355471, -4.827391155823307
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 26.785749669911198, 24.29654186841341, -4.84788385776746
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 20.36711013324298, 16.32315320116436, -4.186171288995217
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 15.81434508913343, 12.445299639511282, -4.281187758086557
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 16.62556324176126, 18.30671868331152, -2.970457807775008
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 8.477614576120548, 13.181291796167883, -2.6264177641868804
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 8.004713622330021, 11.103518368572384, -3.1641073311232093
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 2.540603054011429, 6.00663996461211, -1.2982166168652622
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), -0.9738623524038754, 2.678408523818783, -3.4118335965645175
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 8.409102656103443, 14.998552417308986, -5.321486186608382
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 3.999953438350812, 8.075091037764187, -5.461699298098166
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 9.162398243248624, 12.080217490637637, -5.307203834167063
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 4.102400726372303, 1.384020654870136, -2.618925900441023
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 5.766066614779097, -0.5539677219974675, -3.2214954343033027
